,pricingDate,AAPL,GOOGL,MSFT,NVDA,AMD,ORCL,CRM,INTC,CSCO,JPM,GS,BAC,MS,AXP,C,JNJ,UNH,PFE,ABBV,TSLA,AMGN,GILD,PG,KO,NKE,PEP,COST,WMT,TGT,XOM,CVX,NEE,DUK,SO,SLB,MMM,CAT,HON,GE,ADP,AMZN,META,HD,VZ,MRK
134,2018-11-08,50.093649237145755,54.7315,105.875534750025,51.05090894223,21.2,46.463426842143,141.87,42.868574301156,41.623959712216,96.565404267324,206.544000318145,25.622520723977,40.271882311,101.0220824585,57.221410647648,127.1146031901,256.78631000792,34.77227323233,70.1541796957,23.426666,168.381131661468,58.777713053712,81.007765943616,42.202812506863,73.939019684174,100.720640634754,223.88658382244,96.347736176088,78.02520867792,63.207668795227,95.860340010816,38.92565543788,68.694298086195,37.756134622514,44.553378705334,168.359343215304,116.923407493347,135.928208513245,53.51144010576,133.259791430359,87.7455,147.87,166.3359987692,45.26063076815,61.77302092644
135,2018-11-09,49.12776852376225,53.851,103.810132819331,50.97160270959,21.03,46.629268936761,136.92,42.098532550084,40.481105327054,95.628793743642,198.519411486445,25.311890926492,39.664724921,100.81724505628,55.516080911616,127.14959688678,256.69349008744,35.113255615224,71.0018193911,23.367333,165.924392366744,58.205309059032,81.938787771996,42.502244584248,72.589143006988,101.952962793132,222.986160192488,96.972416387756,77.437347516648,63.192040740241,95.980807931406,39.50743690568,69.71253445057,37.942564656073,43.53412731192,165.90907002792,112.936674366243,135.720546686888,50.453643528288,132.629039831189,85.6215,144.96,164.557619207891,45.4082113387,61.26561137458
136,2018-11-12,46.652999531759754,52.468,101.252066207921,46.97407292058,19.03,45.348599428322,130.5,40.82096328126,39.200764700068,93.61808858271,183.718503196865,24.628505372025,38.276936601,99.15061346549,54.207535817136,127.39455276354,252.822899403424,34.978448626638,71.7215134721,22.085333,164.549992761304,57.641082264276,82.19592713412,42.664793426257,71.39136511033,101.510368215123,219.928471615776,95.41990233228701,76.128020384724,62.379381875769,94.278194653734,39.93929776447,69.98949474168,38.007409885137,42.713543562985,162.559538330688,111.2369734125,133.743244948967,46.984220488464,129.907797217627,81.8425,141.55,158.753554569987,45.6101636984,61.12648294907
137,2018-11-13,46.18687799346025,52.3985,101.318386453402,49.39539133587,19.61,45.615789469651,132.16,41.468498390116,38.771120194368,94.168025036982,182.826882215565,24.637380509096,38.753988836,100.42619183386,54.688742722848,126.57220089156,249.889789916256,34.510589078016,70.5460131398,22.582,164.54140276377,57.992701861008,82.878676474932,42.656238224046,71.48642684816,101.657899741126,219.609571580168,94.565560278094,75.103716846144,60.9494148354,92.63983093371,39.97733732198,70.339768051025,38.315424723191,40.890983867982,163.656798714264,112.091273368308,133.336950071312,50.630054869296,130.403387759832,81.5585,142.16,158.3731052111,45.5635593077,61.06101074883
138,2018-11-14,44.88221822389,52.729,99.88158364824301,48.86998754463,20.81,44.998488339684,129.35,41.205984156796,38.092281875362,92.226061932834,180.544332503437,24.149247970191,38.034073645,100.34239471477,53.6081377416,126.19601865225,245.935661303808,34.026869883678,70.6179825479,22.933333,163.519193057224,57.69014546382,82.896410224044,42.570686201936,71.48642684816,101.232661813235,218.831080316772,93.27026748625299,74.043785358396,60.472759155277,92.936985137832,39.56561505246,70.39678928743,38.42079822042,41.296956880613,163.401046294032,111.32596299123,133.201518445427,48.924745239552,128.601240333632,79.9505,144.22,159.16939456691,45.7810464643,60.63544144727
139,2018-11-15,45.98985754943675,53.5525,102.079606495032,50.15871382503,21.49,46.647695836163,132.49,42.098532550084,40.188947063178,94.580477377686,181.658858730062,24.76163242809,38.42438911,102.0462694696,54.53678264736,126.4147292565,245.917097319712,34.264764569418,72.0813605126,23.229333,166.46883573213,57.060501069672,83.197883958948,42.553575797514,70.659389729039,101.36283668912,215.670218199128,91.442159219754,71.932829370192,61.097881358717,94.842761011065,40.09369361554,70.929957943354,38.242473840494,41.530175419784,169.052349773352,115.170312792366,134.16391780617,48.042688534512,132.683104253975,80.972,143.85,156.922089051624,45.8897900426,61.24924332452
140,2018-11-16,46.49922747788775,53.4135,103.040646787351,40.75101197811,20.66,47.145222120017,132.55,42.728566710052,39.82804567839,94.511735320902,180.214432740356,24.628505372025,38.276936601,101.91591839546,54.83226057192,127.71824445783,251.644086413328,34.502659255158,73.1928880377,23.620666,167.965282008132,56.58622347408,83.189017084392,42.921449492587,71.049142854142,102.707977073265,216.683194782824,89.74266158506899,70.970874742656,61.699561479528,96.553904454702,40.36444576017,71.374608248548,38.496985796187,41.651103551206,172.4266317048,115.650856517508,134.87209846455,47.160631829472,132.052352654805,79.6705,139.53,156.621268628318,46.76750606745,62.24769437818
141,2018-11-19,44.6563655197655,51.371,99.548549883578,35.8612870719,19.11,45.652643268455,121.01,42.0022773312,39.31247227155,95.233526917134,176.737110913286,24.628505372025,38.519799557,100.78931268325,54.553667100192,129.24047026341,246.94739843704,35.033957386644,71.5535848532,23.564666,168.596730436734,55.613136683124,82.719072732924,43.212326367761,68.938772274316,103.280746527159,214.544688661688,88.906692478278,69.287454144468,61.902726195646,96.845853099114,40.72694036703,72.165097680004,38.620136742432,41.728843064263,169.605105004176,112.109071284054,133.89154062987,46.102163783424,129.250013407064,75.6145,131.55,153.586521416731,47.0859694039,62.48503110405
142,2018-11-20,42.522778272291504,51.5225,96.779612011649,36.94679113116,19.21,44.528602404933,120.67,41.468498390116,38.229768117186,93.18845072781,170.602758561942,24.300125300398,37.38354787,98.77818182509,52.789241779248,128.12067196965,242.7240920552,34.518518900874,70.4420573281,23.166,169.920177143256,55.253339886468,81.66391466076,42.245588517918,67.607907944696,100.6685706844,205.699902379972,86.499836368616,61.994983272768,60.144569998471,94.15343782287,40.00195115331,72.889712992172,38.308154345278,40.51092402637,165.422315421672,108.807557913171,130.78644082005,44.98489195704,126.618878164812,74.773,132.43,149.569683999645,46.1849511837,61.20013917434
143,2018-11-21,42.47472450545649,52.1715,98.111747070309,35.86376539167,18.73,44.795792446262,123.59,41.153481310132,38.573483721746,92.492437402872,171.72620099838,24.202498792617,37.929989521,99.1599242565,53.076277477392,124.21887478983,241.84230281064,34.17753651798,68.8907167535,22.546,166.745635043298,54.574632292776,81.052100316396,41.689500374203,68.796179667571,100.043731280152,205.005825831884,86.509022842317,62.201543408256,60.605597623508,95.34556145421901,39.42240730654,71.185220155595,37.462517847729,41.150115578172,165.040220175843,110.231391172851,130.8318370161,45.925752442416,127.123479444148,75.8365,134.82,149.79087548737,45.9519292302,61.20832319937
