,GPT-weighted_15,GPT-weighted_30,GPT-weighted_45,GPT-equal_15,GPT-equal_30,GPT-equal_45,MVO_GMV_weighted_15,MVO_GMV_weighted_30,MVO_GMV_weighted_45,MVO_Maxret_weighted_15,MVO_Maxret_weighted_30,MVO_Maxret_weighted_45,MVO_MaxSharpe_weighted_15,MVO_MaxSharpe_weighted_30,MVO_MaxSharpe_weighted_45,epo_GMV_weighted_15,epo_GMV_weighted_30,epo_GMV_weighted_45,epo_Maxret_weighted_15,epo_Maxret_weighted_30,epo_Maxret_weighted_45,epo_MaxSharpe_weighted_15,epo_MaxSharpe_weighted_30,epo_MaxSharpe_weighted_45,SnP500
2018-05-04,0.007216533695646232,0.009656855124879904,0.005602326487970988,0.00538464909664782,0.0055537505301281875,0.0018384844781975662,0.00013355686518234933,0.0012472740852051967,-0.0045946539400503195,0.015495982586556822,0.011196667493414747,0.006717690673701204,0.01218075634515059,0.00961518601643574,0.004651256899643519,0.002570270208034353,0.0031679810254807705,-0.002432274971859716,0.015495982586556822,0.010207345583443495,0.0008254728796444066,0.015424766480759411,0.011134976348397663,0.0008160809903190458,0.0
2018-05-11,0.028431700425728623,0.03324187798692879,0.027703721472572607,0.028449163685466017,0.02861055761367326,0.02521852214417497,0.020837676248035564,0.019034344723960483,0.016079729849867164,0.030073404387228164,0.028529133598664824,0.02155284240329114,0.024250424872640508,0.021417331963593522,0.019434390827826054,0.027947269789678764,0.0256077000026238,0.023740896434838676,0.030073404387228164,0.02985513921807814,0.02461587573163082,0.029636358907975335,0.02637412960381469,0.02458858222914162,0.02414191179544045
2018-05-18,-0.017209980966188643,-0.013534919833697145,-0.003937754262665627,-0.015547006151830578,-0.009554190691625108,-0.0033771382629452784,-0.011403665183812084,-0.009264608199836433,-0.004519861783672363,-0.021349189891094356,-0.011571718494168493,-0.001110234774188923,-0.020699423490865843,-0.01322636752800943,-0.0019279827094329516,-0.017300757024635183,-0.010645774643069594,-0.000932946593716566,-0.021349189891094356,-0.007419615746459107,-0.0016468200570071145,-0.02198271358456727,-0.010341384872216697,-0.0016499631487352229,-0.0054074465701836605
2018-05-25,0.008172299094806101,0.007667568533453961,0.0023690583438213952,0.007072369900159581,0.007568384929677041,0.0008908747951481555,0.005552795274231803,0.0063873166332710785,0.0028384177525868637,0.01023794498542352,0.011860024068187869,0.005143396015219626,0.011652628876789306,0.009047612456041909,0.003619230542813545,0.005947436097078818,0.0067331784790090055,-0.002094717788708178,0.01023794498542352,0.010096791456419174,0.0015790607040324645,0.010709912876164962,0.008857024558384774,0.0016022291148569678,0.00308153334248229
2018-06-01,0.016189914332460642,0.013005828626244442,0.006868019164456118,0.014171366446396716,0.007803075576881202,0.006160362657118279,0.010537904079443994,0.005718374457594155,0.005463147777637456,0.017271168588527175,0.01186116632249612,0.011474606991954461,0.015363240973641279,0.009513875056858856,0.0097700412728281,0.015514873828774922,0.009621884781387813,0.010480115612608198,0.017271168588527175,0.008742745555099463,0.010893677452804562,0.018292268534203515,0.010803132570682328,0.0108570940377275,0.0048836556687223975
2018-06-08,0.020036698468574032,0.01876087241521751,0.017744232218545264,0.0212225068692784,0.021303864827546537,0.017085457386978753,0.019404004958358145,0.022100766912061864,0.01829080522306281,0.028155410945725823,0.02228101136886429,0.0241506010116328,0.024951623663953315,0.02488955632186629,0.023321779389623876,0.024224215346522415,0.024557808379246593,0.021708815044368945,0.028155410945725823,0.021916574194541072,0.02280546425247909,0.025661822589713168,0.023451170297591473,0.022794453962396988,0.016239883496158125
2018-06-15,0.007011196899220362,-4.6497144670754054e-05,-0.0002924791019464079,0.005518767201381669,2.2586115026035358e-05,-0.0005720997416365226,0.0024939761358593326,-0.002436775255792112,0.002913027820299341,0.013483208414491354,0.008257328218797433,0.010016294954471983,0.013876028176211808,0.006297241653869579,0.010190621826858814,0.009733781947081077,0.0036289713742743146,0.004838413813966547,0.013483208414491354,-0.0014202138498513595,0.001967650643746932,0.013849365423669546,0.0035170668439925556,0.001967448901847524,0.00022665563374979492
2018-06-22,-0.010420177402184816,-0.014583341609215705,-0.01102003172927879,-0.011095595857658958,-0.014075634847918295,-0.009506207568617642,-0.004456370699954748,-0.005128652292779479,-0.0033027021959162184,-0.019394357655894368,-0.013941511946719443,-0.011916440190234412,-0.013923114229591027,-0.013122286801796501,-0.011171569139257986,-0.0120668339173583,-0.013477195930503116,-0.008913341262998808,-0.019394357655894368,-0.012600926399218393,-0.010430994505292834,-0.01882797570008954,-0.015636865600140992,-0.010436961886889029,-0.00891477018066944
2018-06-29,-0.001726589063282824,-0.010605248724770977,-0.00766837207238058,-0.000401974233640634,-0.008480827597794782,-0.005441783148090074,0.0018780155239810359,-0.005356241517295635,-0.0012375473970276385,-0.003907063971563041,-0.011406902067138236,-0.007697120806546276,0.001156044842921311,-0.009525468038910523,-0.005825814880091373,0.0018441383418652535,-0.0047848906773502176,-0.0022317901954668207,-0.003907063971563041,-0.012302973212162893,-0.006095342922592506,-0.0035199986126631666,-0.008668201463473912,-0.006053794212354968,-0.01325276134643183
2018-07-06,0.005540743827711969,0.01405076359673374,0.0161540469821555,0.005145422352875517,0.009499298783125942,0.016294938801073355,0.01312484709156303,0.013534027711754826,0.018692897468073122,0.00237928582086111,0.010676855573646282,0.014249854086317848,0.0007219724578946263,0.008206873719507346,0.015043049063626412,0.0011682930806387049,0.00531796195502654,0.015211169619929077,0.00237928582086111,0.015315332167066709,0.02039149623372749,0.002146337582154878,0.010622476122146507,0.020368091816688638,0.015248089621717975
