,pricingDate,MSFT,AMZN,NVDA,AAPL,GOOGL,ADBE,JNJ,PFE,MRK,ABT,PG,KO,JPM,GS,CAT,CVX,XOM,BA,TSLA,NEE,NKE,VZ,CRM,UNH,WMT,QCOM,BAC,V,MCD,INTC
1051,2022-07-05,259.78365146181,113.5,149.50409365992,140.529963234816,113.263,376.49,172.004692533846,49.257015530264,89.45237516016,106.7689354187,140.09764482792,60.953243233176,108.390386091564,286.38100658552,168.840430182336,136.401456068724,81.308992975518,137.7,233.066666,76.800926181312,102.72423615488,46.524868520388,172.2,496.352109595052,121.8458489283,121.865044707044,30.16224672582,198.587227832524,245.449438256098,35.136999178251
1052,2022-07-06,263.104454463186,114.33,151.1625860114,141.880067430912,114.572,382.83,172.15918198487,50.31579336215,89.92551488197,106.17306121371,141.40470647628,61.078463233497,107.687802342258,283.066233158016,167.431483222366,134.603932324092,79.842152281584,136.31,231.733333,77.247499636544,102.63561286832,46.606300612314,172.73,506.22531579691696,122.708821540428,123.056286898808,29.91121650339,199.161580042272,244.641942779652,35.424300888621
1053,2022-07-07,265.26890641944,116.33,158.43597415524,145.28510963136,118.783,390.89,172.35229379865,50.954875476892,89.80964392969,106.95453558091,141.3562967856,60.596847847647,110.411517425184,287.73004228276,175.175833064408,137.223727568928,82.392345906332,139.97,244.543333,78.033857242496,106.47595528592,46.459711106556,176.64,505.331323991574,122.895145172592,130.16500046592,30.76085725623,200.82522092568,246.081814231628,36.525624111706
1054,2022-07-08,264.537539091756,115.54,158.23615579964,145.970088966144,119.3535,389.44,172.139870803492,50.716412001242,89.58755793782,106.72986170034,140.407466848272,60.818390925138,110.065037767992,285.677580829102,174.02924174526,136.506630330378,82.526566623424,139.07,250.763333,77.9076517008,106.27901464912,46.258150537764,175.5,509.506560445099,122.97359722824,131.724268700668,30.693272196345,201.587722997242,246.373680066488,36.381973256521
1055,2022-07-11,261.424286277966,111.75,151.38238620256,143.815878594432,115.6765,384.16,172.207459938315,50.449332908514,91.0552566667,106.36842980551,141.395024538144,60.625744770798,108.621372529692,282.507346940588,170.064756506172,135.301906969614,82.104730083992,136.99,234.343333,78.325100800256,103.50215167024,46.2673123818,174.36,507.85611403523507,123.02262976302,128.073062958432,30.37465691403,203.063214018836,246.412595511136,35.62541208588
1056,2022-07-12,250.710743261622,109.22,150.68302195796,144.798675031296,114.0205,375.54,169.793562266065,49.638557091304,90.3793427784,105.7920924597,140.1460545186,60.365672462439,108.727241313834,281.881008938298,169.549762100114,132.825531172488,81.0117899591,147.15,233.07,77.61640814304,102.17280237184,46.523844014808,166.33,505.370620334666,122.649982498692,128.76069056506,30.27810682848,202.825551035492,244.661400501976,35.634988809559
1057,2022-07-13,249.771825746352,110.4,151.50227721592,144.431367272064,111.3535,371.94,169.397683047816,49.400093615654,90.54349329413,103.75049067539,141.06583864152,60.086335538646,107.707051212102,279.58764825299,168.947315813782,131.936330596686,81.337754557752,143.95,237.04,77.917359819392,103.50215167024,46.276474225836,163.49,492.422475285852,122.944177707372,131.365927553552,29.77604638362,202.16207520699,245.819134980254,35.634988809559
1058,2022-07-14,251.115960294528,110.63,153.58038811416,147.389683819392,110.3675,372.96,169.629417224352,49.018552054614,90.64970833372,103.721055134169,140.649515301672,59.893689384306,103.9438971576,271.339258561294,165.128583708484,129.976264811316,79.707931564492,147.15,238.313333,77.791154277696,101.64106265248,46.258150537764,161.04,493.59154149283904,125.346771911592,137.42867236692,29.090540776215,203.904937084846,245.75103295212,36.113824993509
1059,2022-07-15,253.725162652752,113.55,157.47684604836,149.077314064512,111.7775,379.86,172.091592850047,49.36193945955,91.69254690424,106.772540154198,140.455876538952,60.20192323125,108.70799244399,283.172228819942,168.471188910068,131.61124651521,81.050138735412,147.74,240.066666,76.412601437632,103.0984233648,46.743728271672,167.38,520.4309438246751,126.572585281092,139.820841646316,31.137402589875,207.994720923224,248.095688492162,36.985306848298
1060,2022-07-18,251.28397711305,113.76,160.86376717578,145.999870676352,109.03,375.23,168.229356574447,48.40808555695,89.16269777946,105.006407345178,138.751855427016,59.383177075305,107.591557993038,290.293210107516,168.578074541514,133.456576742412,82.54574101158,147.72,240.546666,75.247627206592,102.35004894496,46.065751813008,167.89,510.23354279230097,126.278390072412,137.225289553692,31.14705759843,205.192278244626,245.575913451204,37.071497361409
