,pricingDate,AAPL,AMZN,NVDA,JPM,PG,PFE,JNJ,KO,XOM,NEE,GOOGL,MSFT,TSLA,NKE,BAC
0,2018-05-01,40.19170754796,79.113,56.227008421136,92.320305626766,62.678004644892,27.3543914388,108.702900598488,35.810358376181,58.32661588074,36.0377919572345,52.0375,89.2740614375,19.994666,64.39810141998,26.345517550915
1,2018-05-02,41.967178011492,78.484,56.021547397144,91.590433749224,61.789572672438,26.96030274858,106.5376416468,35.364725834754,58.21291877376,36.088574288751246,51.3025,87.873868263375,20.076666,64.549403860908,26.020047050286
2,2018-05-03,42.043235648484,78.60375,57.675137325176,91.013325753028,62.155397602272,26.85984876872,106.132194751464,35.221787095051,58.015843788328,36.0024651179185,51.315,88.400115362375,18.963333,63.26333311302,25.68578004964
3,2018-05-04,43.692735650748,79.0475,59.177725777744,92.02326474637101,63.087380161611,26.92166660248,107.132872195272,35.616970669524,58.28871684508,36.22988164601525,52.55,89.4244177515,19.606,64.39810141998,25.77374504981
4,2018-05-07,44.008850204496,80.007,61.559093308832,92.82103168228899,62.695424879646,26.99121166546,106.615280413992,35.431991124026,58.925420644168,36.06649501417875,52.973,90.42052833175,20.184666,65.570695337172,26.072826050388
5,2018-05-08,44.22038550738,79.6195,61.98486796096,94.19590661440301,62.225078541288,27.02984781156,105.769880504568,35.154521805779,59.190713893788,35.30696796888475,52.9295,90.035240277125,20.131333,64.738531912068,26.327924550881
6,2018-05-09,44.531746458816,80.4,63.316651465872,96.249732130277,63.035119457349,27.17666516674,106.546268176488,35.129297322302,60.585398406076,34.94928372081025,54.4475,91.09713174475,20.456666,64.25625538161,27.022848052224
7,2018-05-10,45.168729168624,80.454,64.393465266312,96.99657777241299,63.714508612755,27.340521028944,108.13354963908,35.465623768662,61.942183882704,35.377621647516754,55.2735,92.00866689837501,20.334666,64.227886173936,27.172388552513
8,2018-05-11,44.996939592669506,80.1455,63.007222212872,96.631641833642,63.906131195049,27.69944339405,109.763963750112,35.431991124026,62.233136042496,35.4902259478365,55.169,91.81132423625,20.070666,64.710162704394,27.198778052564
9,2018-05-14,44.89195707280751,80.077,63.212683236864,96.66558936283,63.827740138656,27.980339158046,108.746033246928,35.347909512436,62.654251013256,35.370997865145,55.33,92.12143413387501,19.464666,65.097875209272,27.374708052904
10,2018-05-15,44.483956825162,78.806,60.786757893344,95.927230602991,63.540306265215,27.847693936159,107.943765985944,35.078848355348,62.623624469928,35.07292765841625,54.2435,91.4542279905,18.945333,65.7219977781,27.462673053074
11,2018-05-16,44.899114971889,79.364,60.898152424424,96.190323954198,64.045493073081,27.839891276048,108.13354963908,34.935909615645,62.799727094064,34.70199584559825,54.2045,91.69017800516,19.098666,67.461975848772,27.321929052802
12,2018-05-17,44.6151849749895,79.088,61.318976208504,95.867822426912,64.420028120292,27.863299256381,106.83957018588,35.56652170257,62.692534192416,34.5364012863045,54.063,90.774691925232,18.969333,67.083719746452,27.102016552377
13,2018-05-18,44.4529392624755,78.7185,60.880824386256,94.31472296656099,63.975812134065,27.808680635604,107.176004843712,35.465623768662,62.24844931416,34.54302506867625,53.482,90.944575940064,18.454666,67.443063043656,26.618209051442
14,2018-05-21,44.767886822061506,79.273,60.460000602176,95.18038496085501,64.507129294062,27.93352319738,106.727425299936,35.659011475319,62.998799625696,35.3754137200595,54.2005,92.11488804224,18.966,67.499801459004,26.873307551935
15,2018-05-22,44.655746403118,79.07,60.07878376248,95.91025683839699,64.480998941931,27.871101916492,106.028676395208,35.524480896775,62.508774932448,35.20098745093675,53.7655,92.020508034,18.334,67.433606641098,27.172388552513
16,2018-05-23,44.942062366378,80.093,61.314789245993,95.46893895895299,64.611650702586,28.066168419267,106.49450899836,35.65060331416,62.89926335988,35.388661284803,54.298,93.115316129584,18.604666,67.461975848772,26.776546051748
17,2018-05-24,44.89195707280751,80.1535,61.351943719560495,94.399591789531,64.254535890129,28.003747138379,105.4593254358,35.583338024888,61.459815823464,35.59179061087,54.2725,92.784986100744,18.523333,68.256313663644,26.574226551357
18,2018-05-25,44.994553626309,80.5075,61.745781139376,93.915839498602,64.724882228487,27.839891276048,105.563611535418,35.65060331416,60.265380633672,35.8611577606545,54.204,92.832176104864,18.59,68.32250848155,26.530244051272
19,2018-05-29,44.832307913795,80.6435,61.5748705609655,89.90154417212099,64.498419176685,27.85549659627,103.76467619436,35.886031826612,60.043338194544,36.15039625755425,53.4035,92.501846076024,18.917333,67.064806941336,25.474664049232
20,2018-05-30,44.736869259375,81.2445,62.6647351189455,91.955369687995,65.230069036353,28.128589700155,105.129086090718,36.264399078767,62.4015820308,36.490417085970755,53.8735,93.38901815348,19.448,68.303595676434,25.940878550133
21,2018-05-31,44.5865533786635,81.481,62.4665779265855,90.81812746019699,63.731928847509,28.034957778823,103.955867390028,36.1550929837,62.202509499168,36.60964516866225,55.0,93.285200144416,18.982,67.89697036644,25.649408004792
22,2018-06-01,45.390624042152,82.077,63.811569869729,91.99780409948,63.975812134065,28.284642902375,105.381110848644,36.255990917608,62.654251013256,36.006880972833,56.75,95.125610305096,19.454666,68.99697714684,25.96737587262
23,2018-06-04,45.7699926934715,83.2635,65.6024154956825,92.040238510965,64.611650702586,28.440696104595,105.98075596233,36.567092880491,61.995780331704,35.82903628219625,57.652,95.956154377608,19.782666,70.01163857547,25.96737587262
24,2018-06-05,46.1231157148255,84.8175,65.65690872358151,91.522538690848,64.428738237669,28.432893444484,105.572302044312,36.247582756449,61.773737892576,35.4133243144125,57.551,96.446930420456,19.408666,70.22026055145,25.720067530976
