Ticker,Weight
AAPL,0.011363636520079684
GOOGL,0.011363636526228198
MSFT,0.011363636445567668
NVDA,0.011363636363636364
AMD,0.011363636698016882
ORCL,0.011363636602244293
CRM,0.011363636937996118
INTC,0.045454545454545456
CSCO,0.04545454541262168
JPM,0.011363636431537589
GS,0.011363636363636364
BAC,0.045454545370954724
MS,0.011363636492399389
AXP,0.011363636363636364
C,0.04545454531595632
JNJ,0.011363636618370894
UNH,0.011363636363636364
PFE,0.04545454537670648
ABBV,0.011363636445131874
MRK,0.0454545451032702
AMGN,0.011363636683467465
GILD,0.045454545388570196
PG,0.01136363668813596
KO,0.04545454535945358
NKE,0.011363636636645679
PEP,0.01136363655649774
COST,0.011363636363636364
WMT,0.011363636758447298
TGT,0.011363636460992638
XOM,0.03409090806685955
CVX,0.011363636363636364
NEE,0.011363636745278398
DUK,0.045454545352450276
SO,0.04545454525624006
SLB,0.04545454510723596
MMM,0.04545454476785283
CAT,0.011363636363636364
HON,0.01136363640283741
GE,0.045454544915212315
ADP,0.011363636363636364
AMZN,0.011363636981102597
META,0.011363637007417509
HD,0.011363636363636364
VZ,0.045454545454545456
