Date,MSFT,AMZN,NVDA,AAPL,GOOGL,ADBE,JNJ,PFE,MRK,ABT,PG,KO,JPM,GS,CAT,CVX,XOM,BA,TSLA,NEE,NKE,VZ,CRM,UNH,WMT,QCOM,BRK-B,V,MCD,INTC
2018-04-30,89.42436218261719,79.04750061035156,59.17771911621094,43.63525390625,52.54999923706055,228.50999450683594,107.13287353515625,26.604637145996094,46.61531448364258,53.552005767822266,62.69125747680664,35.616973876953125,92.02326202392578,208.05027770996094,127.9791259765625,98.99497985839844,57.760536193847656,320.2826232910156,19.606000900268555,36.22910690307617,64.39810943603516,36.59247970581055,125.12000274658203,217.45663452148438,79.44437408447266,45.1097526550293,195.63999938964844,123.25751495361328,145.14495849609375,45.20663070678711
2018-05-07,91.81126403808594,80.14550018310547,63.00722122192383,44.765113830566406,55.16899871826172,241.8800048828125,109.76396942138672,27.108631134033203,48.1812629699707,55.849422454833984,63.5048828125,35.43198776245117,96.63163757324219,215.116943359375,135.40240478515625,102.39390563964844,61.0504150390625,327.9729309082031,20.070667266845703,35.48947525024414,64.71017456054688,36.91899108886719,130.6300048828125,219.65057373046875,75.6777572631836,47.4644889831543,199.3000030517578,126.77752685546875,145.4615936279297,47.0956916809082
2018-05-14,90.5520248413086,78.71849822998047,60.880821228027344,44.39445877075195,53.481998443603516,238.08999633789062,107.17601013183594,27.481201171875,47.73731994628906,56.259681701660156,63.57411193847656,35.46562576293945,94.314697265625,209.87451171875,136.14559936523438,100.83244323730469,61.68438720703125,338.0499572753906,18.454666137695312,34.542293548583984,67.44306945800781,36.25077819824219,126.95999908447266,225.5133514404297,76.39198303222656,49.42391586303711,196.05999755859375,124.95977020263672,141.5829620361328,46.08779525756836
2018-05-21,92.83210754394531,80.50749969482422,61.70761489868164,44.93534851074219,54.20399856567383,243.55999755859375,104.78643035888672,27.51205062866211,47.69694519042969,56.86139678955078,64.31846618652344,35.650604248046875,93.91582489013672,208.1123046875,136.2679901123047,97.2012710571289,59.71929168701172,346.57745361328125,18.59000015258789,35.86040115356445,68.3225326538086,36.843074798583984,127.95999908447266,225.7991180419922,75.31423950195312,51.52943420410156,194.14999389648438,126.4610366821289,143.5442657470703,47.75901794433594
2018-05-28,95.12554931640625,82.0770034790039,63.81157684326172,45.33089828491211,56.75,251.30999755859375,105.38111877441406,27.951557159423828,48.88352584838867,56.89785385131836,63.57411193847656,36.2559814453125,91.99781036376953,202.2145233154297,134.23072814941406,98.52178955078125,62.086524963378906,343.3339538574219,19.454666137695312,36.006126403808594,68.80477905273438,36.303924560546875,130.52000427246094,224.32423400878906,75.79832458496094,50.369239807128906,192.22999572753906,126.04684448242188,139.98228454589844,49.17180252075195
2018-06-04,95.9183349609375,84.19950103759766,64.96582794189453,45.67878723144531,56.635501861572266,251.2100067138672,107.81444549560547,28.275413513183594,50.51405334472656,57.68190383911133,66.80257415771484,36.953861236572266,94.2977294921875,207.40850830078125,135.80459594726562,100.58210754394531,63.42945098876953,355.6343688964844,21.17733383178711,34.61956787109375,71.02630615234375,37.3442268371582,133.52999877929688,231.08111572265625,77.04959106445312,52.328338623046875,196.00999450683594,129.79408264160156,149.5011444091797,47.42304992675781
2018-06-11,94.50265502929688,85.79850006103516,65.70396423339844,44.997314453125,57.9635009765625,251.82000732421875,106.55432891845703,28.036376953125,50.070091247558594,57.35369873046875,66.97569274902344,37.096805572509766,91.57345581054688,206.10218811035156,131.1705322265625,98.67292785644531,61.198814392089844,344.4504089355469,23.878000259399414,35.46592712402344,71.91768646240234,36.49376678466797,138.41000366210938,235.96673583984375,76.44678497314453,51.98099136352539,191.75999450683594,130.14080810546875,147.33265686035156,47.474727630615234
2018-06-18,94.76690673828125,85.78350067138672,62.159427642822266,44.063236236572266,58.464500427246094,243.6300048828125,106.75421905517578,28.15203857421875,50.001529693603516,56.4693717956543,67.01897430419922,36.689170837402344,89.748779296875,200.85899353027344,122.35701751708984,99.51615905761719,61.74508285522461,326.1922912597656,22.242000579833984,36.52408218383789,69.63233184814453,37.784637451171875,135.00999450683594,235.3120574951172,77.4697265625,50.80000305175781,188.91000366210938,130.3623504638672,145.64210510253906,45.2263298034668
2018-06-25,93.06808471679688,84.98999786376953,58.67928695678711,44.108524322509766,56.45949935913086,243.80999755859375,105.45063018798828,27.974693298339844,49.375186920166016,55.603271484375,67.56427001953125,37.20663070678711,88.43331146240234,196.01571655273438,118.62354278564453,100.57415771484375,62.76936340332031,322.9198913574219,22.863332748413086,37.13097381591797,75.55908966064453,38.20227813720703,136.39999389648438,226.9586181640625,78.22779846191406,48.73325729370117,186.64999389648438,127.5881118774414,138.68527221679688,42.8228874206543
2018-07-02,95.47474670410156,85.53150177001953,61.26277160644531,44.78999710083008,57.75400161743164,248.19000244140625,109.28316497802734,28.614686965942383,50.59534454345703,56.66994857788086,68.64620208740234,37.868316650390625,88.31449127197266,197.09988403320312,118.396240234375,98.7524642944336,62.46588134765625,322.0825500488281,20.593332290649414,37.860103607177734,72.52458190917969,39.09071350097656,141.39999389648438,231.9724884033203,77.18657684326172,50.226871490478516,187.55999755859375,129.1679229736328,141.1015625,44.25290298461914
