Ticker,Weight
MSFT,0.016666666666666666
AMZN,0.016666676730776448
NVDA,0.016666666666666666
AAPL,0.016666666759563003
GOOGL,0.01666667276249135
ADBE,0.016666666666666666
JNJ,0.06666666666666667
PFE,0.06666666666666667
MRK,0.06666666666666667
ABT,0.05599760193116274
PG,0.016666674816256034
KO,0.06666666666666667
JPM,0.01666667405460323
GS,0.016666666666666666
CAT,0.016666666666666666
CVX,0.01666666836925838
XOM,0.06666666666666667
BA,0.06666657724202117
TSLA,0.016666666666666666
NEE,0.06666666666666667
NKE,0.016666674692721723
VZ,0.06666666666666667
CRM,0.01666667503976828
UNH,0.016666666666666666
WMT,0.02733574881512344
QCOM,0.016666670965621005
BRK-B,0.016666666666666666
V,0.016666672819429424
MCD,0.016666667327196592
INTC,0.06666666666666667
