Date,AAPL,AMZN,NVDA,JPM,PG,PFE,JNJ,KO,XOM,NEE,GOOGL,MSFT,TSLA,NKE,BAC
2018-04-30,43.63525390625,79.04750061035156,59.1777229309082,92.02324676513672,62.69124984741211,26.60463523864746,107.13286590576172,35.616981506347656,57.760536193847656,36.2291145324707,52.54999923706055,89.42437744140625,19.606000900268555,64.39808654785156,25.77375030517578
2018-05-07,44.7651252746582,80.14550018310547,63.0072135925293,96.63163757324219,63.504878997802734,27.10862159729004,109.76396179199219,35.4319953918457,61.05039596557617,35.489479064941406,55.16899871826172,91.81128692626953,20.070667266845703,64.71015167236328,27.19878387451172
2018-05-14,44.39445114135742,78.71849822998047,60.880828857421875,94.3147201538086,63.57410430908203,27.4812068939209,107.17601776123047,35.46562576293945,61.684383392333984,34.542301177978516,53.481998443603516,90.55205535888672,18.454666137695312,67.44306945800781,26.618213653564453
2018-05-21,44.93535614013672,80.50749969482422,61.70760726928711,93.91583251953125,64.31847381591797,27.51204490661621,104.78644561767578,35.65060043334961,59.71928405761719,35.86039733886719,54.20399856567383,92.83211517333984,18.59000015258789,68.322509765625,26.530241012573242
2018-05-28,45.33089828491211,82.0770034790039,63.81155776977539,91.99781036376953,63.57410430908203,27.95155906677246,105.38111114501953,36.25598907470703,62.086517333984375,36.006126403808594,56.75,95.12556457519531,19.454666137695312,68.8047866821289,25.861711502075195
2018-06-04,45.67879104614258,84.19950103759766,64.96581268310547,94.29773712158203,66.80260467529297,28.275413513183594,107.81446075439453,36.95387268066406,63.42945861816406,34.619564056396484,56.635501861572266,95.91835021972656,21.17733383178711,71.02629089355469,26.50615692138672
2018-06-11,44.9973030090332,85.79850006103516,65.7039794921875,91.57345581054688,66.97569274902344,28.03638458251953,106.5543212890625,37.096797943115234,61.19880294799805,35.46592330932617,57.9635009765625,94.50264739990234,23.878000259399414,71.91767120361328,25.861391067504883
2018-06-18,44.0632438659668,85.78350067138672,62.1594352722168,89.74876403808594,67.01896667480469,28.15203857421875,106.75421905517578,36.689170837402344,61.745086669921875,36.52408218383789,58.464500427246094,94.76692199707031,22.242000579833984,69.63231658935547,25.605247497558594
2018-06-25,44.108516693115234,84.98999786376953,58.679290771484375,88.43331146240234,67.56424713134766,27.974693298339844,105.45061492919922,37.20664596557617,62.76936721801758,37.13096237182617,56.45949935913086,93.06806945800781,22.863332748413086,75.55908966064453,24.898651123046875
2018-07-02,44.790000915527344,85.53150177001953,61.262760162353516,88.31449127197266,68.64619445800781,28.614694595336914,109.28314971923828,37.868316650390625,62.46586990356445,37.86011505126953,57.75400161743164,95.47476959228516,20.593332290649414,72.52458190917969,24.757333755493164
2018-07-09,45.59062576293945,90.65149688720703,61.755680084228516,90.75703430175781,68.64619445800781,28.938547134399414,109.43958282470703,37.95314407348633,63.20942306518555,37.68449783325195,60.22100067138672,99.50477600097656,21.257999420166016,73.37804412841797,25.216615676879883
2018-07-16,45.61683654785156,90.68499755859375,62.14457321166992,94.95523071289062,68.10090637207031,28.784332275390625,109.37004852294922,38.41123580932617,61.76026153564453,37.78452682495117,59.89400100708008,100.29756927490234,20.905332565307617,72.9797592163086,26.612146377563477
2018-07-23,45.507232666015625,90.8635025024414,62.424468994140625,99.0084228515625,70.37841796875,29.61708641052246,114.32366943359375,39.20014572143555,62.15480422973633,37.11985397338867,62.644500732421875,101.62835693359375,19.812000274658203,72.91338348388672,27.43356704711914
2018-07-30,49.5604248046875,91.16449737548828,62.44427490234375,99.91290283203125,71.9068603515625,31.259483337402344,114.67127227783203,39.54795455932617,60.84979248046875,38.04684066772461,61.90800094604492,101.96809387207031,23.211332321166992,74.66769409179688,27.83102035522461
2018-08-06,49.45081329345703,94.31500244140625,63.1105842590332,98.75243377685547,71.12081909179688,31.828937530517578,113.6283950805664,39.089866638183594,60.25798034667969,37.99793243408203,62.6254997253418,102.87413787841797,23.69933319091797,76.5547866821289,27.54838752746582
2018-08-13,52.02738571166992,94.11100006103516,60.64105224609375,97.93325805664062,73.09468841552734,32.73099899291992,116.86128234863281,39.53099822998047,59.99032211303711,38.94049835205078,60.79249954223633,101.53392791748047,20.366666793823242,75.62547302246094,27.150922775268555
2018-08-20,51.687828063964844,95.26950073242188,67.42794799804688,97.85646057128906,72.80644989013672,32.97206497192383,118.1474838256836,38.708133697509766,61.03281784057617,38.39140701293945,61.837501525878906,102.70157623291016,21.521333694458008,78.18582916259766,27.283411026000977
2018-08-27,54.43051528930664,100.635498046875,69.5234375,97.7711410522461,72.44835662841797,32.28773880004883,117.05247497558594,37.808937072753906,61.45442581176758,37.81342697143555,61.59000015258789,106.42498016357422,20.110666275024414,77.94876861572266,27.318744659423828
2018-09-03,52.916900634765625,97.60350036621094,67.37560272216797,97.54928588867188,71.54002380371094,32.81654357910156,120.13335418701172,38.78449249267578,62.72690963745117,38.50865173339844,58.87950134277344,102.52157592773438,17.549333572387695,76.3345718383789,27.256916046142578
2018-09-10,53.524261474609375,98.5094985961914,68.5081787109375,96.84957122802734,73.02481842041016,33.40755081176758,122.03177642822266,39.01353073120117,63.562435150146484,38.85545349121094,58.89899826049805,107.41030883789062,19.68000030517578,79.36705017089844,26.953794479370117
2018-09-17,52.046504974365234,95.75050354003906,65.29132843017578,100.56143951416016,74.95501708984375,34.262962341308594,124.99748992919922,39.85013198852539,65.28717041015625,38.20880889892578,58.60599899291992,108.2535400390625,19.940000534057617,81.3253173828125,27.53955078125
