Date,AAPL,GOOGL,MSFT,NVDA,AMD,ORCL,CRM,INTC,CSCO,JPM,GS,BAC,MS,AXP,C,JNJ,UNH,PFE,ABBV,MRK,AMGN,GILD,PG,KO,NKE,PEP,COST,WMT,TGT,XOM,CVX,NEE,DUK,SO,SLB,MMM,CAT,HON,GE,ADP,AMZN,META,HD,VZ
2018-04-30,43.63525390625,52.54999923706055,89.42437744140625,59.17771911621094,11.279999732971191,41.781898498535156,125.12000274658203,45.206634521484375,38.36536407470703,92.02327728271484,208.05027770996094,25.77374839782715,43.48670196533203,90.91593933105469,55.618812561035156,107.13288879394531,217.45668029785156,26.604633331298828,77.67539978027344,46.615325927734375,142.22164916992188,52.658592224121094,62.69126510620117,35.61697769165039,64.3980941772461,84.42356872558594,181.32785034179688,79.44440460205078,61.61833190917969,57.760536193847656,98.9949722290039,36.22911071777344,63.57757568359375,36.33230209350586,58.521785736083984,162.26864624023438,127.9791030883789,122.56455993652344,81.46353912353516,111.85887145996094,79.04750061035156,176.61000061035156,161.96653747558594,36.59247970581055
2018-05-07,44.76510238647461,55.16899871826172,91.81126403808594,63.00721740722656,11.949999809265137,42.7965202331543,130.6300048828125,47.0956916809082,38.89891815185547,96.63162231445312,215.116943359375,27.198781967163086,46.701683044433594,93.75386810302734,59.9288330078125,109.76396942138672,219.65057373046875,27.108623504638672,80.78491973876953,48.1812629699707,147.22537231445312,53.25424575805664,63.50487518310547,35.43199157714844,64.71017456054688,83.09310913085938,181.8573760986328,75.67772674560547,60.92452621459961,61.0504035949707,102.39390563964844,35.489479064941406,62.00961685180664,35.46405792236328,60.469966888427734,166.98951721191406,135.40235900878906,125.52024841308594,84.352294921875,113.6256103515625,80.14550018310547,186.99000549316406,166.58837890625,36.91899490356445
2018-05-14,44.39444351196289,53.481998443603516,90.55204010009766,60.880821228027344,13.0,42.33948516845703,126.95999908447266,46.08779525756836,36.59530258178711,94.31471252441406,209.87451171875,26.618213653564453,45.61874771118164,93.35636901855469,57.543514251708984,107.1760025024414,225.51333618164062,27.481204986572266,82.18069458007812,47.7373161315918,149.26580810546875,54.75141525268555,63.5741081237793,35.46562957763672,67.44306945800781,83.16133880615234,185.36911010742188,76.39200592041016,65.85918426513672,61.684391021728516,100.83244323730469,34.54228591918945,58.738407135009766,33.727561950683594,63.20082473754883,161.9430694580078,136.14559936523438,126.35505676269531,86.48999786376953,115.02652740478516,78.71849822998047,182.67999267578125,164.0586395263672,36.25077819824219
2018-05-21,44.93534469604492,54.20399856567383,92.83212280273438,61.70761489868164,13.539999961853027,42.96105194091797,127.95999908447266,47.75901412963867,36.637657165527344,93.91582489013672,208.11228942871094,26.530248641967773,44.848838806152344,93.45808410644531,56.29328536987305,104.78645324707031,225.79908752441406,27.51204490661621,78.38106536865234,47.69694900512695,152.07310485839844,54.23624801635742,64.31847381591797,35.650604248046875,68.32249450683594,85.54930114746094,184.8101043701172,75.31424713134766,62.286834716796875,59.71928024291992,97.20126342773438,35.86039352416992,61.05287551879883,35.63054275512695,58.36015319824219,163.1079864501953,136.26800537109375,128.982421875,84.525634765625,116.57913208007812,80.50749969482422,184.9199981689453,163.55967712402344,36.84305953979492
2018-05-28,45.33090591430664,56.75,95.12555694580078,63.81155014038086,14.399999618530273,43.28097152709961,130.52000427246094,49.17180633544922,36.9764289855957,91.99781799316406,202.21453857421875,25.86170768737793,43.325958251953125,90.823486328125,55.33916473388672,105.3811264038086,224.3242645263672,27.95156478881836,76.03150177001953,48.88352584838867,156.62060546875,54.97679138183594,63.5741081237793,36.25598907470703,68.8047866821289,85.49815368652344,183.66407775878906,75.79830169677734,63.67759704589844,62.08651351928711,98.52178192138672,36.0061149597168,61.270320892333984,35.37443923950195,58.66640853881836,163.5669403076172,134.2307586669922,128.49444580078125,81.46353912353516,118.43511199951172,82.0770034790039,193.99000549316406,163.99734497070312,36.303932189941406
2018-06-04,45.67878723144531,56.635501861572266,95.91834259033203,64.96583557128906,15.25,44.03965377807617,133.52999877929688,47.42304611206055,36.82396697998047,94.2977523803711,207.40855407714844,26.50615692138672,43.91819381713867,93.36561584472656,56.31795883178711,107.81444549560547,231.0811004638672,28.275419235229492,77.87702941894531,50.51405334472656,157.24343872070312,57.88259506225586,66.8025894165039,36.95387268066406,71.02629852294922,88.2124252319336,189.84117126464844,77.04959106445312,68.24349212646484,63.42945098876953,100.58210754394531,34.61957550048828,58.886505126953125,34.63813781738281,59.066246032714844,169.30352783203125,135.8045654296875,130.009765625,80.48136138916016,120.77297973632812,84.19950103759766,189.10000610351562,174.5807342529297,37.3442268371582
2018-06-11,44.9973030090332,57.9635009765625,94.50263977050781,65.70396423339844,16.34000015258789,42.30292892456055,138.41000366210938,47.47473907470703,37.47610092163086,91.5734634399414,206.10218811035156,25.86138916015625,43.283660888671875,91.07308959960938,54.56598663330078,106.5543212890625,235.9667510986328,28.036378860473633,77.21015930175781,50.070098876953125,157.84918212890625,56.53030776977539,66.97572326660156,37.0968017578125,71.91769409179688,92.61917114257812,193.15802001953125,76.44677734375,67.56996154785156,61.19880676269531,98.67294311523438,35.46592712402344,59.8367919921875,35.55851364135742,57.26893997192383,167.9759521484375,131.17050170898438,128.6143035888672,76.84147644042969,125.17308807373047,85.79850006103516,195.85000610351562,176.52606201171875,36.493770599365234
2018-06-18,44.063236236572266,58.464500427246094,94.76690673828125,62.15943145751953,15.800000190734863,40.310264587402344,135.00999450683594,45.22634506225586,36.58683776855469,89.74878692626953,200.8590087890625,25.60525131225586,41.36314010620117,89.88059997558594,55.27336120605469,106.75421905517578,235.31207275390625,28.152040481567383,72.49549865722656,50.00152587890625,157.96865844726562,57.66754150390625,67.01898193359375,36.68917465209961,69.63232421875,93.27330780029297,196.67977905273438,77.46973419189453,66.51158142089844,61.745079040527344,99.51615142822266,36.52408218383789,62.35752487182617,36.662960052490234,57.054691314697266,161.03463745117188,122.35704040527344,123.28070068359375,76.06629180908203,124.74256896972656,85.78350067138672,201.74000549316406,173.77088928222656,37.784637451171875
2018-06-25,44.1085090637207,56.45949935913086,93.06806945800781,58.679298400878906,14.989999771118164,40.27369689941406,136.39999389648438,42.8228874206543,36.4428596496582,88.43328857421875,196.01573181152344,24.898651123046875,40.102535247802734,90.5923843383789,55.04304504394531,105.45062255859375,226.95858764648438,27.974695205688477,71.84414672851562,49.37519073486328,157.49085998535156,57.48091125488281,67.56425476074219,37.20663833618164,75.55907440185547,93.7036361694336,194.70460510253906,78.22779846191406,66.5815658569336,62.769371032714844,100.57415008544922,37.13096618652344,63.68632507324219,37.06312942504883,57.4403076171875,161.2149200439453,118.62352752685547,123.32349395751953,79.33043670654297,120.30318450927734,84.98999786376953,194.32000732421875,171.7375030517578,38.2022819519043
2018-07-02,44.79000473022461,57.75400161743164,95.47476196289062,61.26276779174805,16.360000610351562,42.046993255615234,141.39999389648438,44.252899169921875,36.17185592651367,88.31449890136719,197.09986877441406,24.75733184814453,39.84025955200195,91.07308959960938,55.22401809692383,109.28316497802734,231.97251892089844,28.61468505859375,75.1552505493164,50.595340728759766,162.96835327148438,61.02680969238281,68.64619445800781,37.868309020996094,72.52459716796875,94.29751586914062,195.30087280273438,77.18660736083984,67.1676025390625,62.46586608886719,98.75247192382812,37.860107421875,65.73189544677734,38.22359848022461,57.4403076171875,161.8214111328125,118.39620208740234,124.75322723388672,80.72935485839844,120.37491607666016,85.53150177001953,203.22999572753906,171.19174194335938,39.0906982421875
