Ticker,Weight
AAPL,0.011363636365234376
GOOGL,0.011363636367562843
MSFT,0.011363636363636364
NVDA,0.011363636363636364
AMD,0.011363636380883358
ORCL,0.011363636398234685
CRM,0.01136363637939241
INTC,0.045454545454545456
CSCO,0.045454545454545456
JPM,0.011363636363636364
GS,0.011363636363636364
BAC,0.045454545454545456
MS,0.011363636377414542
AXP,0.011363636363636364
C,0.04545454545303624
JNJ,0.01136363639982292
UNH,0.011363636381116789
PFE,0.045454545454545456
ABBV,0.011363636380238178
MRK,0.04545454541673915
AMGN,0.011363636400441074
GILD,0.045454545454545456
PG,0.011363636403349454
KO,0.045454545454545456
NKE,0.0113636363735275
PEP,0.011363636395239494
COST,0.011363636419733786
WMT,0.011363636406450172
TGT,0.011363636363636364
XOM,0.02092956767504922
CVX,0.011363636381393915
NEE,0.024524977735861438
DUK,0.045454545425973256
SO,0.04545454544975764
SLB,0.0454545454212785
MMM,0.04545454532419513
CAT,0.011363636363636364
HON,0.011363636363636364
GE,0.045454545338718816
ADP,0.011363636363636364
AMZN,0.011363636395483429
META,0.011363636364679217
HD,0.011363636363636364
VZ,0.045454545454545456
